DATE,FL,T_WA
2017-11-11,68.71249999999999,68.71249999999999
2017-11-12,72.52250000000002,72.52250000000002
2017-11-13,71.8475,71.8475
2017-11-14,68.82499999999999,68.82499999999999
2017-11-15,64.42750000000001,64.42750000000001
2017-11-16,63.46250000000001,63.462500000000006
2017-11-17,64.1275,64.1275
2017-11-18,66.6225,66.6225
2017-11-19,67.8375,67.8375
2017-11-20,61.52,61.52
2017-11-21,68.1275,68.1275
2017-11-22,69.77199999999999,69.77199999999999
2017-11-23,68.84916666666666,68.84916666666666
2017-11-24,65.35,65.35
2017-11-25,62.8875,62.8875
2017-11-26,63.38399999999999,63.38399999999999
2017-11-27,63.005,63.004999999999995
2017-11-28,68.53,68.53
2017-11-29,71.58500000000002,71.58500000000002
2017-11-30,69.21821428571428,69.21821428571428
2017-12-01,69.24513392857143,69.24513392857143
2017-12-02,69.945,69.945
2017-12-03,67.95166666666668,67.95166666666668
2017-12-04,68.8,68.8
2017-12-05,71.358,71.358
2017-12-06,70.25750000000001,70.25750000000001
2017-12-07,62.4375,62.4375
2017-12-08,63.5125,63.5125
2017-12-09,56.73916666666667,56.73916666666667
2017-12-10,47.54428571428571,47.54428571428571
2017-12-11,50.1125,50.1125
2017-12-12,55.74166666666667,55.74166666666667
2017-12-13,52.44500000000001,52.44500000000001
2017-12-14,55.94,55.94
2017-12-15,62.30250000000001,62.3025
2017-12-16,60.69500000000001,60.69500000000001
2017-12-17,65.8425,65.8425
2017-12-18,71.6175,71.6175
2017-12-19,71.9425,71.9425
2017-12-20,70.44250000000002,70.44250000000002
2017-12-21,70.2225,70.2225
2017-12-22,66.7525,66.7525
2017-12-23,69.68,69.68
2017-12-24,70.64500000000002,70.64500000000002
2017-12-25,61.3375,61.3375
2017-12-26,60.485,60.485
2017-12-27,63.1525,63.15250000000001
2017-12-28,60.7375,60.7375
2017-12-29,55.9175,55.9175
2017-12-30,54.7575,54.75749999999999
2017-12-31,55.70333333333333,55.703333333333326
2018-01-01,54.35375000000001,54.35375000000002
2018-01-02,49.26593749999999,49.26593749999999
2018-01-03,48.644375,48.644375
2018-01-04,43.818125,43.818125
2018-01-05,44.51,44.51
2018-01-06,47.49406250000001,47.49406250000001
2018-01-07,52.0053125,52.0053125
2018-01-08,61.16,61.15999999999999
2018-01-09,66.79625,66.79625
2018-01-10,68.613125,68.613125
2018-01-11,69.625625,69.625625
2018-01-12,69.8984375,69.8984375
2018-01-13,56.980625,56.98062500000001
2018-01-14,49.22375,49.22375
2018-01-15,52.72812500000001,52.728125000000006
2018-01-16,57.01156250000001,57.01156250000002
2018-01-17,53.8671875,53.8671875
2018-01-18,42.7775,42.7775
2018-01-19,49.229375,49.229375
2018-01-20,55.8725,55.8725
2018-01-21,63.471875,63.471875
2018-01-22,67.758125,67.758125
2018-01-23,69.468125,69.468125
2018-01-24,60.53281250000001,60.532812500000006
2018-01-25,59.99,59.99
2018-01-26,62.78281250000001,62.782812500000006
2018-01-27,68.10406250000001,68.10406250000001
2018-01-28,69.8225,69.8225
2018-01-29,67.9971875,67.9971875
2018-01-30,56.10312500000001,56.103125000000006
2018-01-31,54.31196428571428,54.31196428571428
2018-02-01,61.2725,61.2725
2018-02-02,64.18625,64.18625
2018-02-03,60.749375,60.749375
2018-02-04,67.235,67.235
2018-02-05,65.51656249999999,65.51656249999999
2018-02-06,65.73593749999999,65.73593749999999
2018-02-07,71.02625,71.02625
2018-02-08,70.025,70.025
2018-02-09,69.5778125,69.5778125
2018-02-10,72.111875,72.111875
2018-02-11,74.00750000000002,74.00750000000002
2018-02-12,73.26218750000002,73.26218750000002
2018-02-13,71.8503125,71.8503125
2018-02-14,69.153125,69.153125
2018-02-15,69.5834375,69.5834375
2018-02-16,70.998125,70.998125
2018-02-17,71.49875,71.49875
2018-02-18,71.54656250000002,71.54656250000002
2018-02-19,72.8567857142857,72.8567857142857
2018-02-20,75.12004464285717,75.12004464285717
2018-02-21,75.64705357142857,75.64705357142857
2018-02-22,74.35504464285714,74.35504464285714
2018-02-23,73.81475,73.81475
2018-02-24,73.15008928571429,73.15008928571429
2018-02-25,73.9090625,73.9090625
2018-02-26,73.67200892857143,73.67200892857143
2018-02-27,71.21375,71.21375
2018-02-28,71.6928125,71.6928125
2018-03-01,74.4153125,74.4153125
2018-03-02,71.0234375,71.0234375
2018-03-03,63.141875,63.14187499999999
2018-03-04,59.24950892857144,59.24950892857144
2018-03-05,60.793169642857144,60.793169642857144
2018-03-06,64.3173125,64.3173125
2018-03-07,66.21478571428571,66.21478571428571
2018-03-08,55.7825,55.78249999999999
2018-03-09,55.203125,55.203125
2018-03-10,60.4709375,60.4709375
2018-03-11,68.81562500000001,68.81562500000001
2018-03-12,65.6825,65.6825
2018-03-13,54.7784375,54.778437499999995
2018-03-14,56.1846875,56.184687499999995
2018-03-15,55.34375,55.34375
2018-03-16,60.209375,60.209375
2018-03-17,66.0509375,66.0509375
2018-03-18,71.04875000000001,71.04875000000001
2018-03-19,71.920625,71.920625
2018-03-20,73.49562499999998,73.49562499999998
2018-03-21,64.1778125,64.1778125
2018-03-22,58.0409375,58.0409375
2018-03-23,58.566875,58.566875
2018-03-24,63.1653125,63.16531249999999
2018-03-25,69.13624999999999,69.13624999999999
2018-03-26,67.465625,67.465625
2018-03-27,69.25999999999999,69.25999999999999
2018-03-28,69.45125,69.45125
2018-03-29,72.03312500000001,72.03312500000001
2018-03-30,70.90812500000001,70.90812500000001
2018-03-31,69.00125,69.00125
2018-04-01,70.1459375,70.1459375
2018-04-02,72.3396875,72.3396875
2018-04-03,74.00187500000001,74.00187500000001
2018-04-04,73.203125,73.203125
2018-04-05,68.6834375,68.6834375
2018-04-06,70.705625,70.705625
2018-04-07,73.2171875,73.2171875
2018-04-08,70.30625,70.30625
2018-04-09,74.4546875,74.4546875
2018-04-10,70.18049107142858,70.18049107142858
2018-04-11,67.42625000000001,67.42625000000001
2018-04-12,69.1278125,69.1278125
2018-04-13,72.53375,72.53375
2018-04-14,75.948125,75.948125
2018-04-15,74.7134375,74.7134375
2018-04-16,64.35218750000001,64.35218750000001
2018-04-17,64.16375000000001,64.16375000000001
2018-04-18,69.42875000000001,69.42875000000001
2018-04-19,72.94678571428571,72.94678571428571
2018-04-20,71.0740625,71.0740625
2018-04-21,73.664375,73.664375
2018-04-22,75.38,75.38
2018-04-23,75.55959821428574,75.55959821428574
2018-04-24,73.715,73.715
2018-04-25,71.46781250000002,71.46781250000002
2018-04-26,71.425625,71.425625
2018-04-27,72.7615625,72.7615625
2018-04-28,71.7940625,71.7940625
2018-04-29,73.1890625,73.1890625
2018-04-30,73.4028125,73.4028125
2018-05-01,73.80031250000002,73.80031250000002
2018-05-02,74.14812500000002,74.14812500000002
2018-05-03,74.8175,74.8175
2018-05-04,75.1015625,75.1015625
2018-05-05,75.4109375,75.4109375
2018-05-06,76.44875,76.44875
2018-05-07,77.0703125,77.0703125
2018-05-08,75.99312499999998,75.99312499999998
2018-05-09,77.58392857142857,77.58392857142857
2018-05-10,77.6534375,77.6534375
2018-05-11,78.54124999999998,78.54124999999998
2018-05-12,76.94093749999998,76.94093749999998
2018-05-13,75.51781249999998,75.51781249999998
2018-05-14,73.99544642857144,73.99544642857144
2018-05-15,76.52187500000002,76.52187500000002
2018-05-16,75.981875,75.981875
2018-05-17,76.26218750000002,76.26218750000002
2018-05-18,76.634375,76.634375
2018-05-19,75.700625,75.700625
2018-05-20,74.53062500000001,74.53062500000001
2018-05-21,76.5528125,76.5528125
2018-05-22,77.556875,77.556875
2018-05-23,78.56375,78.56375
2018-05-24,79.36812499999998,79.36812499999998
2018-05-25,75.92093750000002,75.92093750000002
2018-05-26,76.78625000000002,76.78625000000002
2018-05-27,76.88750000000002,76.88750000000002
2018-05-28,78.33687499999998,78.33687499999998
2018-05-29,77.68892857142858,77.68892857142858
2018-05-30,78.4371875,78.4371875
2018-05-31,78.8815625,78.8815625
2018-06-01,79.7928125,79.7928125
2018-06-02,80.425625,80.425625
