DATE,CO,ID,MT,NV,OR,UT,WA,WY,T_WA
2019-06-30,75.44444444444444,66.5,65.27272727272727,72.5,63.5,,62.7,68.07692307692308,67.66156384802427
2019-07-01,74.16666666666667,68.0,63.54545454545455,76.375,65.75,,66.7,66.84615384615384,69.51374495772782
2019-07-02,71.6111111111111,71.25,67.36363636363636,75.75,67.0,,67.8,65.76923076923077,69.77393433227918
2019-07-03,69.5,69.25,60.72727272727273,75.75,63.25,,65.5,65.69230769230771,67.442595267435
2019-07-04,71.55555555555556,66.25,59.18181818181818,74.25,62.25,,65.7,64.92307692307692,67.32081157997148
2019-07-05,70.6875,64.25,61.09090909090909,72.75,65.0,,66.6,62.153846153846146,67.55712459342352
2019-07-06,69.58823529411765,68.5,64.0,74.25,67.125,,67.1,61.230769230769226,68.43781183814274
2019-07-07,67.58823529411765,71.5,67.18181818181819,76.5,65.0,,67.6,63.230769230769226,68.44515456349033
2019-07-08,69.0,70.75,67.81818181818181,75.875,63.75,,64.4,67.07692307692308,67.53795283930131
2019-07-09,69.47058823529412,65.25,64.18181818181819,75.0,65.375,,65.4,64.23076923076923,67.50148959155453
2019-07-10,68.94117647058823,67.25,63.0,75.5,65.5,,65.2,60.46153846153846,67.40297215396349
2019-07-11,68.88235294117646,74.75,68.18181818181819,78.25,70.625,,70.6,63.92307692307693,71.21165585026067
2019-07-12,75.0,75.0,72.54545454545455,80.75,71.25,,70.4,72.07692307692308,73.4464841461555
2019-07-13,75.27777777777777,76.75,72.36363636363636,82.75,72.375,,69.5,71.92307692307692,73.79890546220813
2019-07-14,74.11764705882355,76.75,72.54545454545455,82.75,71.75,,71.7,69.92307692307692,74.06740975231216
2019-07-15,74.83333333333333,75.5,72.45454545454545,82.25,71.125,,69.8,72.38461538461539,73.42734968462243
2019-07-16,73.94444444444444,72.75,68.0909090909091,79.42857143,68.375,,67.8,69.38461538461539,71.27219841980875
2019-07-17,74.55555555555556,71.0,67.27272727272727,77.71428571,70.0,,68.2,67.92307692307692,71.40872152566554
2019-07-18,77.77777777777777,70.75,64.72727272727273,79.14285714,67.625,,67.0,67.69230769230771,71.42947563612483
2019-07-19,75.83333333333333,72.0,65.9090909090909,79.85714286,68.375,,64.7,71.07692307692308,70.68723383947855
2019-07-20,77.44444444444444,67.5,60.63636363636363,78.85714286,63.625,,62.6,71.23076923076924,68.88620410705946
2019-07-21,74.27777777777777,66.75,60.0,78.57142857,66.875,,65.1,66.69230769230771,69.25879532769507
2019-07-22,71.77777777777777,71.75,63.54545454545455,80.28571429,71.25,,69.0,66.61538461538461,71.40406838844417
2019-07-23,71.33333333333333,77.0,69.36363636363636,82.71428571,74.25,,73.3,70.38461538461539,74.2290809751446
2019-07-24,72.55555555555556,77.5,76.27272727272727,82.14285714,71.375,,72.8,72.15384615384616,74.17294174231147
2019-07-25,74.66666666666667,75.0,72.9090909090909,80.71428571,67.5,,67.1,72.0,71.67800746035905
2019-07-26,73.77777777777777,71.75,66.63636363636364,79.71428571,71.0,,67.8,70.76923076923076,71.62279490222377
2019-07-27,74.4,71.25,68.36363636363636,78.14285714,74.375,,71.7,69.69230769230771,73.40678859260248
2019-07-28,74.26666666666667,75.25,73.63636363636364,79.14285714,70.625,,71.4,69.0,73.26550907726985
