DATE,DE,NJ,OH,VA,WV,T_WA
2016-07-16,84.5,82.66666666666667,76.76923076923076,83.66666666666667,75.0,80.39655107517072
2016-07-17,81.5,80.33333333333333,71.53846153846153,80.08333333333333,73.2,76.67547358428244
2016-07-18,81.0,80.0,73.23076923076924,80.5,74.6,77.37825056397398
2016-07-19,84.5,81.0,78.07692307692308,82.91666666666667,77.0,80.32328311761475
2016-07-20,80.5,76.33333333333333,75.69230769230771,80.75,76.6,77.4233182889993
2016-07-21,76.5,73.33333333333333,74.61538461538461,79.0,74.4,75.47777460184423
2016-07-22,76.0,75.66666666666667,77.92307692307692,79.0,73.6,77.28083554404954
2016-07-23,82.0,81.66666666666667,80.84615384615384,82.66666666666667,76.6,81.35884352270772
2016-07-24,85.5,84.33333333333333,82.15384615384616,85.41666666666667,79.8,83.60488050366969
2016-07-25,82.5,80.0,80.84615384615384,86.75,81.4,82.27307070036937
2016-07-26,86.0,84.33333333333333,82.07692307692308,87.25,81.2,84.161631786947
2016-07-27,83.5,80.66666666666667,77.84615384615384,87.0,79.2,81.33242554520218
2016-07-28,85.0,80.0,78.69230769230771,85.33333333333333,79.2,81.05645593617847
2016-07-29,82.5,80.33333333333333,76.15384615384616,85.58333333333333,73.4,79.88283210930612
2016-07-30,80.5,77.33333333333333,77.23076923076924,82.41666666666667,75.6,78.65632064239841
2016-07-31,79.5,77.0,76.38461538461539,81.5,75.2,77.95458086389577
2016-08-01,82.5,77.0,76.69230769230771,82.08333333333333,76.2,78.37152481796828
2016-08-02,79.0,74.33333333333333,76.84615384615384,81.91666666666667,75.2,77.47701614650637
2016-08-03,76.0,71.33333333333333,77.15384615384616,80.33333333333333,76.2,76.29438596633493
2016-08-04,74.0,71.33333333333333,78.23076923076924,77.18181818181819,73.8,75.64931279040005
2016-08-05,72.5,71.0,78.84615384615384,77.16666666666667,74.0,75.74346916181226
2016-08-06,73.5,72.33333333333333,80.76923076923076,77.83333333333333,75.6,77.11936377204754
2016-08-07,81.5,79.66666666666667,75.30769230769229,83.83333333333333,75.6,79.01122668080559
2016-08-08,79.5,76.66666666666667,73.53846153846153,79.83333333333333,72.8,76.23659994720347
2016-08-09,76.0,74.66666666666667,75.0,75.16666666666667,70.8,74.74613409523882
2016-08-10,76.0,75.0,77.76923076923076,77.91666666666667,76.8,76.92844249673749
2016-08-11,82.5,81.66666666666667,81.30769230769229,82.75,79.6,81.7343867923367
2016-08-12,85.0,84.33333333333333,83.23076923076924,83.66666666666667,81.0,83.58338242281752
2016-08-13,86.5,85.0,83.76923076923076,85.33333333333333,81.0,84.45880509679172
2016-08-14,88.5,87.0,81.69230769230771,86.91666666666669,81.6,84.77331877530861
2016-08-15,87.5,87.0,74.41666666666667,87.41666666666669,78.0,82.00595442068746
2016-08-16,85.0,83.0,75.30769230769229,85.41666666666667,77.8,80.59479937714278
2016-08-17,83.5,82.0,77.23076923076924,84.5,78.8,80.78631499650437
2016-08-18,82.5,80.66666666666667,75.38461538461539,85.0909090909091,75.6,79.68544517584427
2016-08-19,81.0,78.66666666666667,75.69230769230771,82.0909090909091,75.8,78.40295320634327
2016-08-20,80.5,79.0,76.61538461538461,80.45454545454545,75.0,78.33590075372697
2016-08-21,78.5,77.66666666666667,76.38461538461539,79.9090909090909,75.2,77.68376811955743
2016-08-22,79.0,78.33333333333333,70.0,81.0909090909091,69.8,75.55617348857352
2016-08-23,73.5,70.0,67.0,75.63636363636364,67.6,70.38117268024477
2016-08-24,70.0,68.66666666666667,68.76923076923077,73.81818181818181,69.2,70.15458176268486
2016-08-25,72.5,72.33333333333333,72.92307692307692,73.81818181818181,72.6,72.9673464993287
2016-08-26,75.5,74.66666666666667,80.38461538461539,78.81818181818181,78.8,78.13333100365621
2016-08-27,83.0,82.0,77.0,84.45454545454545,79.6,80.71921601180057
2016-08-28,79.5,77.0,78.92307692307692,82.63636363636364,79.6,79.43726671494085
2016-08-29,77.0,76.0,79.07692307692308,80.0909090909091,79.8,78.46820529942813
2016-08-30,79.0,78.33333333333333,75.92307692307692,79.33333333333333,77.2,77.67383100223446
2016-08-31,79.0,75.0,74.07692307692308,79.83333333333333,75.4,76.1005331467933
2016-09-01,76.5,78.33333333333333,74.84615384615384,80.16666666666667,75.4,77.32445374047388
2016-09-02,74.0,72.33333333333333,67.76923076923077,79.66666666666667,70.2,72.55431377631452
2016-09-03,72.0,70.33333333333333,66.61538461538461,73.08333333333333,65.6,69.49102410329876
2016-09-04,71.5,69.0,66.92307692307692,72.91666666666667,65.6,69.17238978698832
2016-09-05,70.5,69.33333333333333,68.38461538461539,72.25,68.8,69.77213651807274
