DATE,CT,ME,MA,NH,RI,VT,T_WA
2016-01-06,18.25,13.0,15.777777777777779,12.5,18.5,10.5,15.792191310785727
2016-01-07,26.0,19.11111111111111,27.0,24.5,29.0,17.142857142857142,25.544908140477624
2016-01-08,29.0,24.88888888888889,31.11111111111111,27.5,34.0,22.0,29.533103179001518
2016-01-09,33.0,24.0,33.0,25.5,33.5,23.42857142857143,31.131464572238116
2016-01-10,39.5,25.777777777777782,39.22222222222222,33.5,43.0,36.142857142857146,37.68758043271826
2016-01-11,50.25,39.0,47.88888888888889,43.5,49.5,42.285714285714285,47.12852135789265
2016-01-12,32.0,30.33333333333333,35.0,30.5,37.5,26.57142857142857,33.26888688916468
2016-01-13,30.0,17.75,26.625,22.5,29.5,19.0,26.138771076619882
2016-01-14,25.75,18.11111111111111,24.88888888888889,20.0,28.0,15.714285714285715,23.870557093681153
2016-01-15,27.0,16.75,23.555555555555557,19.5,27.0,15.714285714285715,23.311298191318205
2016-01-16,35.75,14.0,31.0,23.5,33.5,22.714285714285715,29.744625380072243
2016-01-17,42.25,20.666666666666668,38.333333333333336,31.5,41.0,32.857142857142854,37.00850345314258
2016-01-18,34.5,22.66666666666667,33.0,30.0,35.0,27.42857142857143,32.0583279229247
2016-01-19,24.5,17.714285714285715,23.777777777777782,19.0,24.5,17.285714285714285,22.74322720399817
2016-01-20,23.25,13.25,19.777777777777782,15.5,23.0,13.5,19.594851124354722
2016-01-21,29.0,19.555555555555557,24.777777777777782,21.0,28.0,17.142857142857142,24.88194468402225
2016-01-22,29.0,15.444444444444445,25.11111111111111,20.5,27.5,14.857142857142858,24.486897491543683
2016-01-23,22.75,15.25,23.222222222222218,19.0,25.0,15.571428571428573,21.805477196438336
2016-01-24,26.25,12.0,26.444444444444446,16.0,27.5,13.571428571428573,23.667394746625448
2016-01-25,25.5,17.833333333333332,26.11111111111111,23.0,27.5,13.6,24.50306487303781
2016-01-26,27.0,20.33333333333333,28.0,26.5,30.5,23.142857142857146,26.90247147838853
