DATE,KS,NE,ND,OK,SD,T_WA
2017-01-12,19.855625000000003,12.611428571428569,-6.310000000000002,40.48571428571429,3.3237500000000004,23.018310257861486
2017-01-13,22.64,17.101785714285715,-6.520000000000009,31.055,3.4475000000000016,21.050186331485865
2017-01-14,29.103125,22.89392857142857,1.1299999999999957,30.77375,8.588749999999997,24.810310015826563
2017-01-15,31.330625,28.21035714285714,5.84,35.83625,13.296875,29.07385863775227
2017-01-16,35.18375,31.855357142857148,10.5575,46.34375,17.54375,35.504205442919016
2017-01-17,37.034375,28.47392857142857,14.119999999999996,42.65375,16.559375,34.173588927596306
2017-01-18,40.15625,35.27581632653061,27.64357142857143,45.332857142857144,28.274642857142855,39.294771050869976
2017-01-19,44.110625,37.01428571428571,24.98,49.74125,32.208125,42.52659323698927
2017-01-20,43.570625,36.91464285714286,28.52,54.15125000000001,36.336875,44.63487618666958
2017-01-21,41.871875,37.69571428571429,32.045,52.55375,32.10125,43.59959447867532
2017-01-22,41.961875,32.35357142857143,30.905,49.8425,30.0425,41.352045425504144
2017-01-23,37.0625,30.83642857142857,29.84,42.5975,30.18875,36.89727398452975
2017-01-24,39.875,29.573214285714286,25.445,55.49,29.541875,41.95341721470655
2017-01-25,31.701875,24.60071428571429,21.4025,40.62875,25.1375,32.460705112963666
2017-01-26,28.06357142857143,21.694693877551018,16.89142857142857,32.84428571428572,20.169285714285714,27.211966436790277
2017-01-27,34.230714285714285,26.437142857142852,26.58,37.61,21.465714285714284,32.42931190007947
2017-01-28,38.080625,32.36,31.3775,41.1575,28.68125,36.9023771427005
2017-01-29,44.189375,38.03964285714286,33.38,48.70625,31.251875,42.87800819230058
2017-01-30,44.8925,39.38964285714286,36.4775,51.54125,34.491875,44.897320573979265
2017-01-31,42.42875,35.36857142857143,28.94,53.31875,32.410625,43.413522015836804
2017-02-01,36.0275,26.279642857142854,9.342499999999998,45.95,18.455,34.546879019910605
2017-02-02,24.9575,18.485,7.6774999999999975,34.71125,12.093125,25.103493032916404
