DATE,NC,SC,T_WA
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-30,57.111111111111114,59.25,57.815381075247416
2019-03-31,63.33333333333334,63.5,63.388211512356946
2019-04-01,58.33333333333334,66.5,61.02236410549015
2019-04-02,45.444444444444436,53.5,48.09688976391884
2019-04-03,45.77777777777778,48.5,46.674121368496714
2019-04-04,51.77777777777778,54.0,52.50948683142589
2019-04-05,59.444444444444436,59.5,59.462737170785644
2019-04-06,59.0,67.0,61.634152593133194
2019-04-07,62.88888888888889,65.25,63.666329758390006
2019-04-08,62.66666666666666,67.75,64.3404511268867
2019-04-09,68.77777777777777,71.75,69.75643863703212
2019-04-10,68.55555555555556,71.5,69.5250700516393
2019-04-11,66.0,70.5,67.48171083363742
2019-04-12,65.0,68.5,66.15244175949577
2019-04-13,70.0,73.5,71.15244175949577
2019-04-14,71.77777777777777,75.25,72.92107317410294
2019-04-15,72.33333333333333,75.5,73.37601873478188
2019-04-16,61.33333333333334,65.0,62.54065327185272
2019-04-17,56.111111111111114,59.75,57.30928468645989
2019-04-18,64.77777777777777,65.5,65.01558322021341
2019-04-19,69.1111111111111,70.25,69.48611200110577
2019-04-20,69.44444444444444,70.5,69.7920062449273
2019-04-21,58.444444444444436,58.75,58.54505443932105
2019-04-22,56.66666666666666,58.75,57.35264390446176
2019-04-23,61.555555555555564,63.5,62.19580097749766
2019-04-24,67.0,68.25,67.41158634267707
2019-04-25,72.66666666666667,75.0,73.43496117299719
2019-04-26,71.55555555555556,73.75,72.27811824603306
2019-04-27,66.33333333333333,69.75,67.4583360033173
2019-04-28,63.22222222222222,64.75,63.725272196605296
2019-04-29,70.44444444444444,71.75,70.87432351346271
2019-04-30,66.1111111111111,73.0,68.37940917742024
2019-05-01,71.44444444444444,73.0,71.95664078199812
2019-05-02,72.77777777777777,75.25,73.5918040999613
2019-05-03,73.55555555555556,74.25,73.78421463482059
2019-05-04,71.55555555555556,74.75,72.60738732017471
2019-05-05,75.0,77.25,75.7408554168187
2019-05-06,73.44444444444444,77.0,74.61517893028142
2019-05-07,68.66666666666667,74.5,70.58740293249296
2019-05-08,68.66666666666667,74.75,70.66972020102837
2019-05-09,70.55555555555556,74.25,71.77202185724553
2019-05-10,71.25,72.75,71.74390361121247
2019-05-11,71.44444444444444,74.25,72.36822712467519
2019-05-12,73.55555555555556,75.5,74.19580097749765
2019-05-13,72.55555555555556,76.75,73.93665639431637
2019-05-14,69.55555555555556,76.5,71.8421463482059
2019-05-15,61.66666666666666,69.0,64.08130654370542
2019-05-16,60.22222222222222,65.25,61.87771395610107
