DATE,AL,GA,T_WA
2017-01-12,65.57142857142857,59.25,61.24703089917611
2017-01-13,66.0,61.125,62.66508315105955
2017-01-14,64.5,62.0,62.78978623131259
2017-01-15,62.28571428571429,61.714285714285715,61.89480828144288
2017-01-16,60.57142857142857,62.25,61.719714958975835
2017-01-17,62.57142857142857,63.375,63.121140139935235
2017-01-18,66.42857142857143,65.875,66.0498812369335
2017-01-19,63.28571428571429,66.25,65.31353918287222
2017-01-20,63.85714285714285,63.875,63.86935866977634
2017-01-21,66.57142857142857,69.0,68.23277908958207
2017-01-22,63.714285714285715,65.875,65.19239904293698
2017-01-23,59.42857142857143,61.625,60.931116382489655
2017-01-24,56.0,57.375,56.94061757277807
2017-01-25,52.42857142857143,56.375,55.12826602057085
2017-01-26,56.714285714285715,57.375,57.16627078172453
2017-01-27,51.14285714285714,58.875,56.432304013154635
2017-01-28,40.285714285714285,46.875,44.793349147468966
2017-01-29,41.57142857142857,45.125,44.0023752854914
2017-01-30,44.0,47.875,46.650831341465484
2017-01-31,45.85714285714285,47.625,47.066508307857525
2017-02-01,56.42857142857143,54.875,55.36579572945854
2017-02-02,58.42857142857143,59.25,58.99049880971158
2017-02-03,54.714285714285715,59.625,58.07363418849313
2017-02-04,45.14285714285714,58.5,54.28028499270131
2017-02-05,43.14285714285715,46.75,45.61045129482041
2017-02-06,49.14285714285714,48.875,48.95961995335492
2017-02-07,59.85714285714285,57.75,58.415676966392034
2017-02-08,61.42857142857143,62.625,62.247030875014694
2017-02-09,63.85714285714285,64.5,64.29691211194819
2017-02-10,47.0,55.625,52.900237501971574
2017-02-11,51.14285714285714,48.25,49.16389549623314
2017-02-12,60.57142857142857,58.625,59.23990499437908
2017-02-13,67.42857142857143,69.25,68.67458431718654
2017-02-14,55.0,59.5,58.07838478363735
2017-02-15,54.42857142857143,57.375,56.44418051309587
2017-02-16,53.14285714285714,62.625,59.629453651235835
2017-02-17,47.57142857142857,51.5,50.25890735079451
2017-02-18,50.714285714285715,53.5,52.61995248510883
2017-02-19,57.714285714285715,57.0,57.225653208946454
2017-02-20,61.85714285714285,63.25,62.80997624255441
2017-02-21,62.85714285714285,61.25,61.757719720129515
2017-02-22,60.57142857142857,63.625,62.66033253175391
2017-02-23,65.0,66.0,65.68408550747496
2017-02-24,65.28571428571429,68.25,67.31353918287222
2017-02-25,67.28571428571429,67.75,67.60332541418481
2017-02-26,54.57142857142857,65.0,61.70546314938178
2017-02-27,48.57142857142857,52.0,50.91686459705702
2017-02-28,55.14285714285714,58.0,57.09738716421418
2017-03-01,65.28571428571429,66.75,66.28741092165977
2017-03-02,68.71428571428571,72.125,71.04750592728068
2017-03-03,50.57142857142857,56.625,54.7125890541788
2017-03-04,47.85714285714285,51.125,50.092636569069974
2017-03-05,50.0,50.875,50.59857481904059
2017-03-06,53.85714285714285,55.375,54.89548693098878
2017-03-07,65.28571428571429,63.875,64.32066508766925
2017-03-08,61.14285714285714,64.75,63.61045129482041
2017-03-09,57.57142857142857,62.875,61.19952492357258
2017-03-10,59.57142857142857,60.0,59.86460807463213
2017-03-11,61.714285714285715,64.75,63.79097386197758
2017-03-12,50.28571428571429,55.0,53.510688820953405
2017-03-13,48.0,50.125,49.4536817033843
2017-03-14,45.42857142857143,44.5,44.79334917163039
2017-03-15,41.42857142857143,49.14285714285714,46.70580248623544
2017-03-16,38.714285714285715,40.875,40.19239904293698
2017-03-17,41.0,41.875,41.59857481904059
