DATE,AL,GA,T_WA
2018-12-24,46.2725,45.61625,45.82356888571955
2018-12-25,47.8475,43.2125,44.67676367285353
2018-12-26,54.59,47.36375,49.646627101609035
2018-12-27,59.7575,52.93625,55.091181732136405
2018-12-28,61.602500000000006,60.55625000000001,60.886775537804326
2018-12-29,53.03,57.44375,56.04938240861764
2018-12-30,56.96,55.565,56.00570071707243
2018-12-31,67.99000000000001,61.29,63.40662709991773
2019-01-01,65.14571428571429,65.91875000000002,65.67453681461771
2019-01-02,60.26,58.505,59.059429934381434
2019-01-03,57.22250000000001,57.725,57.56625296750617
2019-01-04,57.11000000000002,58.87625,58.318266027577664
2019-01-05,50.7425,51.575,51.312001184972914
2019-01-06,50.7425,51.18125000000001,51.042642516404655
2019-01-07,54.905,53.38625,53.86604513552239
2019-01-08,59.0,57.83,58.199619956254296
2019-01-09,50.8775,51.5075,51.308473869709225
2019-01-10,42.7325,39.36875,40.431407374231085
2019-01-11,42.125,39.3125,40.20100951022666
2019-01-12,51.50750000000001,44.30750000000001,46.58208434618026
2019-01-13,52.4075,45.42125,47.62830762340303
2019-01-14,44.2625,45.05,44.801217337136535
2019-01-15,41.5175,41.93375,41.80225059248645
2019-01-16,42.2825,41.05625,41.443640146458826
2019-01-17,44.7575,42.17,42.98742874940853
2019-01-18,56.6375,52.19375,53.59759502615813
2019-01-19,59.49500000000001,57.9425,58.43295724964512
2019-01-20,37.7375,43.88,41.93949522966497
2019-01-21,35.9825,33.63125,34.37404395054949
2019-01-22,44.15,38.795,40.48672210747157
2019-01-23,60.5075,54.2525,56.22854515074409
2019-01-24,42.3725,51.65375,48.72166861625202
2019-01-25,39.7625,39.035,39.26482779331196
2019-01-26,40.1225,38.6675,39.12715558662393
2019-01-27,42.53,41.6525,41.929714967190726
2019-01-28,47.0075,46.415000000000006,46.60217933682109
2019-01-29,43.115,44.4425,44.02312351117301
2019-01-30,34.25,33.89,34.003729217309015
2019-01-31,40.505,37.63625,38.54252970043119
2019-02-01,46.76,44.4875,45.205415684263144
2019-02-02,59.855,51.45125,54.10611641655726
2019-02-03,60.25999999999999,55.56875,57.05078386305808
2019-02-04,58.865,53.3975,55.12476248788063
2019-02-05,68.11250000000001,60.49625,62.90233375369381
2019-02-06,70.38499999999998,63.7025,65.81359859629855
2019-02-07,69.3725,68.43875,68.73373515739524
2019-02-08,56.1425,59.41625,58.382024930096165
2019-02-09,47.885,47.8175,47.83882422824544
2019-02-10,55.3775,44.72375,48.08942402473859
2019-02-11,57.3575,48.83,51.52396083500724
2019-02-12,62.735,61.8125,62.10393111935435
2019-02-13,48.2675,49.505,49.114055815500265
2019-02-14,50.1125,47.795,48.527131836426776
2019-02-15,60.26,55.67,57.12004752068991
2019-02-16,64.10750000000002,59.57375,61.00602733048538
2019-02-17,66.11,51.63125000000001,56.205296958646855
2019-02-18,56.885,54.39875,55.18419240704037
2019-02-19,51.26,46.81625,48.22009502615812
2019-02-20,57.875,46.3325,49.97894302997022
2019-02-21,71.24000000000002,56.2325,60.97358674656947
2019-02-22,74.14250000000001,59.945,64.43019600762419
2019-02-23,74.255,53.015,59.725023821231744
2019-02-24,63.36499999999999,59.3825,60.64062946648095
2019-02-25,51.7325,50.01125,50.55501782025872
2019-02-26,60.5075,53.74625,55.88222686258489
2019-02-27,65.27428571428571,60.49625,62.00570072794507
2019-02-28,64.98500000000001,59.50625,61.23706652592154
2019-03-01,65.72749999999999,62.04875,63.21092043937647
2019-03-02,60.755,61.385,61.18597386970922
2019-03-03,58.865,59.66374999999999,59.41141329909563
2019-03-04,41.49500000000001,46.625,45.00435865334657
2019-03-05,40.1225,40.73,40.53808194579104
2019-03-06,40.1225,38.40125,38.94501782025872
2019-03-07,47.255,43.30625,44.553717352358234
2019-03-08,63.5,55.05125,57.72033256872089
2019-03-09,68.63,59.6975,62.51940620447987
2019-03-10,67.37,66.41375000000001,66.71584323347707
2019-03-11,60.5075,60.86750000000001,60.753770782691
2019-03-12,60.125,56.82875,57.870083145985646
2019-03-13,69.18800000000002,61.5125,63.937301687375914
2019-03-14,72.995,65.435,67.82331356348926
2019-03-15,62.85714285714286,66.5375,65.3748218409034
2019-03-16,51.02857142857143,52.85375000000001,52.277149637839585
2019-03-17,53.12749999999999,51.935,52.311728032336106
2019-03-18,53.735,49.74125,51.002933504521856
2019-03-19,52.74500000000001,50.38249999999999,51.128847988590394
2019-03-20,52.227500000000006,48.59375,49.741704287212855
2019-03-21,55.985,52.9925,53.93787411888117
2019-03-22,55.5125,53.915000000000006,54.41967340180875
2019-03-23,56.8625,54.758750000000006,55.42335511364955
2019-03-24,59.135,58.04375,58.38849168996795
2019-03-25,63.14,61.05875,61.71624703756773
2019-03-26,55.895,57.45875,56.96473871231398
2019-03-27,57.852500000000006,53.36375,54.78181117832176
2019-03-28,56.12000000000001,53.38625,54.249881243940315
2019-03-29,62.1275,58.1675,59.418521390399135
2019-03-30,68.0,63.30875,64.79078386305808
2019-03-31,53.6,58.4375,56.909263642410146
2019-04-01,52.4975,50.75375,51.304625896340525
2019-04-02,56.3675,51.60875,53.11210809130351
2019-04-03,58.235,53.83625000000001,55.2258788739945
2019-04-04,59.99,56.9975,57.942874118881164
2019-04-05,68.3375,64.45625000000001,65.68239312411279
2019-04-06,71.105,64.13,66.33350358536212
2019-04-07,74.5025,69.69875,71.21632424346714
2019-04-08,72.005,70.1375,70.72747031479051
2019-04-09,71.13714285714286,69.38374999999999,69.9376722146613
2019-04-10,71.015,69.3275,69.86060570613598
2019-04-11,73.2425,69.92375000000001,70.97219122206747
